                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83405,                 2.9015,                   1.09,                0.37563,                 0.4492,                0.36654,                0.29345,                 0.7163,                 1.9104,                0.96864,             0.00017454,             0.00017454,             0.00017454
                      2,                0.72532,                 1.6693,                 1.0123,                0.56472,                0.54792,                0.57113,                 0.4621,                0.72038,                 1.4169,                0.97932,             0.00033255,             0.00033255,             0.00033255
                      3,                0.70953,                 1.4053,                0.99636,                0.66559,                0.58216,                0.63859,                0.52503,                0.70937,                 1.2696,                0.95773,             0.00047321,             0.00047321,             0.00047321
                      4,                 0.7115,                 1.2539,                0.99464,                0.79048,                0.71507,                0.77821,                 0.6401,                0.68868,                0.84717,                0.95717,             0.00044789,             0.00044789,             0.00044789
                      5,                0.70454,                 1.1527,                0.98863,                0.87128,                0.65321,                0.78241,                0.65312,                0.67794,                 0.7876,                0.94138,             0.00044789,             0.00044789,             0.00044789
                      6,                0.66173,                 1.0594,                0.97561,                0.83522,                0.73611,                0.82168,                0.69485,                0.63133,                0.68889,                 0.9129,             0.00042185,             0.00042185,             0.00042185
                      7,                0.64923,                0.97012,                0.96744,                0.88973,                0.78886,                0.86077,                0.72212,                0.64029,                0.57968,                0.92437,             0.00039581,             0.00039581,             0.00039581
                      8,                0.65011,                0.91109,                0.97262,                0.88508,                  0.802,                0.86245,                 0.7288,                0.62999,                0.57288,                0.91799,             0.00036978,             0.00036978,             0.00036978
                      9,                0.61801,                0.86588,                0.96121,                0.90072,                0.79644,                0.87097,                0.73644,                0.62292,                0.53015,                0.91641,             0.00034374,             0.00034374,             0.00034374
                     10,                0.61728,                0.84532,                0.95475,                0.90904,                0.80807,                0.88278,                0.75201,                0.61185,                0.50748,                0.91126,              0.0003177,              0.0003177,              0.0003177
                     11,                0.59571,                0.56406,                0.90825,                0.93538,                 0.7826,                0.87981,                0.73795,                0.64498,                0.51699,                0.92018,             0.00029167,             0.00029167,             0.00029167
                     12,                0.57587,                0.52469,                0.89949,                0.88873,                0.83218,                0.88328,                0.74956,                0.61515,                0.48614,                0.90673,             0.00026563,             0.00026563,             0.00026563
                     13,                0.56701,                0.50099,                0.89787,                0.91333,                 0.8078,                0.88897,                0.75501,                0.59583,                0.47822,                0.89786,             0.00023959,             0.00023959,             0.00023959
                     14,                0.55433,                0.46589,                0.88983,                0.92696,                0.82569,                 0.8994,                0.76727,                0.59127,                0.45568,                0.89887,             0.00021356,             0.00021356,             0.00021356
                     15,                0.54204,                 0.4297,                0.88386,                0.93361,                  0.852,                0.91591,                 0.7891,                0.56732,                0.40652,                0.88491,             0.00018752,             0.00018752,             0.00018752
                     16,                0.52908,                0.40286,                0.88238,                0.92725,                0.84186,                0.91339,                0.78161,                 0.5815,                0.41856,                0.89196,             0.00016148,             0.00016148,             0.00016148
                     17,                0.52339,                0.39075,                0.87816,                0.92594,                0.87651,                0.93182,                0.79936,                0.57778,                0.36849,                0.89065,             0.00013544,             0.00013544,             0.00013544
                     18,                0.51069,                0.35946,                0.87442,                0.93772,                0.87286,                0.92819,                0.79691,                  0.579,                0.36874,                 0.8863,             0.00010941,             0.00010941,             0.00010941
                     19,                0.50191,                0.34512,                0.87393,                0.95594,                0.86212,                0.93566,                0.80937,                0.55827,                0.34993,                0.88125,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     20,                0.49053,                 0.3299,                 0.8661,                0.95391,                 0.8603,                0.93658,                0.81103,                0.55895,                 0.3467,                0.88234,             5.7334e-05,             5.7334e-05,             5.7334e-05
